dimension,category,total_transactions,high_anomaly_transactions,high_anomaly_rate_percentage,anomaly_lift,average_anomaly_score
transaction_type,Bill Payment,37368,822,2.2,2.2,0.4653710480800227
transaction_type,P2M,87660,640,0.73,0.73,0.45538014929883275
transaction_type,P2P,112445,435,0.387,0.39,0.45177184487374733
transaction_type,Recharge,12527,603,4.814,4.81,0.47520773968735525
merchant_category,Education,7598,203,2.672,2.67,0.46813992486049344
merchant_category,Entertainment,20103,246,1.224,1.22,0.46046896516556163
merchant_category,Food,37464,223,0.595,0.6,0.45220495930487475
merchant_category,Fuel,25063,314,1.253,1.25,0.4591484398252123
merchant_category,Grocery,49966,248,0.496,0.5,0.4506678509195901
merchant_category,Healthcare,12663,171,1.35,1.35,0.46050921753621776
merchant_category,Other,24828,173,0.697,0.7,0.4541614601105091
merchant_category,Shopping,29872,403,1.349,1.35,0.4596715413139135
merchant_category,Transport,20105,233,1.159,1.16,0.457768090131053
merchant_category,Utilities,22338,286,1.28,1.28,0.4583261007692907
sender_age_group,18-25,62345,460,0.738,0.74,0.45571817342422055
sender_age_group,26-35,87432,415,0.475,0.47,0.4510321159949129
sender_age_group,36-45,62873,465,0.74,0.74,0.4565289242837855
sender_age_group,46-55,24841,587,2.363,2.36,0.46585599427677493
sender_age_group,56+,12509,573,4.581,4.58,0.47477499128290945
receiver_age_group,18-25,62611,453,0.724,0.72,0.45581196507058325
receiver_age_group,26-35,87864,453,0.516,0.52,0.45175061404438793
receiver_age_group,36-45,62151,483,0.777,0.78,0.4560662166478921
receiver_age_group,46-55,24823,574,2.312,2.31,0.4649772542164398
receiver_age_group,56+,12551,537,4.279,4.28,0.47346513858288314
sender_state,Andhra Pradesh,20006,239,1.195,1.19,0.4583488106943262
sender_state,Delhi,24870,215,0.864,0.86,0.45498478800933106
sender_state,Gujarat,20061,193,0.962,0.96,0.45710178850685595
sender_state,Karnataka,29756,292,0.981,0.98,0.45548101938122637
sender_state,Maharashtra,37427,234,0.625,0.63,0.4520523508414641
sender_state,Rajasthan,19981,317,1.587,1.59,0.4606062949271829
sender_state,Tamil Nadu,25367,262,1.033,1.03,0.4565512075369843
sender_state,Telangana,22435,285,1.27,1.27,0.45832356715718786
sender_state,Uttar Pradesh,30125,237,0.787,0.79,0.4554673334226993
sender_state,West Bengal,19972,226,1.132,1.13,0.4579159144597887
sender_bank,Axis,25042,313,1.25,1.25,0.45855730066984024
sender_bank,HDFC,37485,348,0.928,0.93,0.45661198574810935
sender_bank,ICICI,29769,375,1.26,1.26,0.45806739914646233
sender_bank,IndusInd,25173,306,1.216,1.22,0.4584412817775603
sender_bank,Kotak,20032,312,1.558,1.56,0.46114845542193383
sender_bank,PNB,24946,306,1.227,1.23,0.45897572580800167
sender_bank,SBI,62693,261,0.416,0.42,0.4496703265787638
sender_bank,Yes Bank,24860,279,1.122,1.12,0.45883598408452836
receiver_bank,Axis,24992,307,1.228,1.23,0.4597838374414813
receiver_bank,HDFC,37651,333,0.884,0.88,0.45729319614541225
receiver_bank,ICICI,29944,275,0.918,0.92,0.45561549747324054
receiver_bank,IndusInd,25086,381,1.519,1.52,0.46053259156444565
receiver_bank,Kotak,20138,225,1.117,1.12,0.45908517022192324
receiver_bank,PNB,24802,401,1.617,1.62,0.4611634863305358
receiver_bank,SBI,62378,279,0.447,0.45,0.4493683072296264
receiver_bank,Yes Bank,25009,299,1.196,1.2,0.4575615421680393
device_type,Android,187777,214,0.114,0.11,0.4503165609554313
device_type,Web,12610,1179,9.35,9.35,0.48589187329010647
device_type,iOS,49613,1107,2.231,2.23,0.47114329460757687
network_type,3G,12471,582,4.667,4.67,0.47659541217425144
network_type,4G,149813,339,0.226,0.23,0.4495154889114931
network_type,5G,62582,530,0.847,0.85,0.4609679284215598
network_type,WiFi,25134,1049,4.174,4.17,0.4744903891971563
