transaction_id,timestamp,transaction_type,merchant_category,amount_inr,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,hour_of_day,is_weekend,transaction_status,fraud_flag,anomaly_score,anomaly_risk_band
TXN0000074790,2024-06-30 21:57:13,Recharge,Education,1806,46-55,46-55,Maharashtra,ICICI,Axis,Web,WiFi,21,1,SUCCESS,0,0.5530538575719256,High Anomaly
TXN0000178618,2024-04-24 08:37:49,Bill Payment,Shopping,5226,46-55,56+,Telangana,Yes Bank,Axis,iOS,WiFi,8,0,SUCCESS,0,0.550884178952148,High Anomaly
TXN0000021818,2024-05-26 17:17:39,P2M,Education,11679,56+,36-45,Gujarat,PNB,Kotak,Web,WiFi,17,1,SUCCESS,0,0.550284913860717,High Anomaly
TXN0000149291,2024-04-21 12:43:11,Recharge,Education,7305,56+,46-55,Rajasthan,SBI,SBI,Web,WiFi,12,1,SUCCESS,0,0.5489499913575495,High Anomaly
TXN0000074642,2024-05-31 03:06:59,Recharge,Grocery,2437,18-25,56+,Andhra Pradesh,ICICI,Axis,Web,3G,3,0,SUCCESS,0,0.5472358645360601,High Anomaly
TXN0000167339,2024-05-12 11:02:42,Recharge,Utilities,1481,46-55,18-25,Telangana,ICICI,Yes Bank,Web,3G,11,1,SUCCESS,0,0.545668980224297,High Anomaly
TXN0000217358,2024-03-23 05:02:53,Recharge,Utilities,302,36-45,36-45,Andhra Pradesh,Yes Bank,ICICI,Web,WiFi,5,1,SUCCESS,0,0.5454702247382893,High Anomaly
TXN0000140062,2024-05-11 09:22:59,Recharge,Grocery,613,56+,46-55,Rajasthan,ICICI,Kotak,Web,5G,9,1,SUCCESS,0,0.5451172810106757,High Anomaly
TXN0000087913,2024-11-02 08:10:34,Recharge,Utilities,7397,56+,26-35,Uttar Pradesh,Kotak,HDFC,iOS,WiFi,8,1,SUCCESS,0,0.544018934107839,High Anomaly
TXN0000227610,2024-09-07 07:43:12,P2P,Fuel,314,56+,46-55,Maharashtra,ICICI,Yes Bank,Web,3G,7,1,SUCCESS,0,0.5439057855300322,High Anomaly
TXN0000232014,2024-06-15 08:24:12,Bill Payment,Transport,243,26-35,56+,Uttar Pradesh,IndusInd,IndusInd,Web,3G,8,1,SUCCESS,0,0.5436916028177192,High Anomaly
TXN0000076717,2024-01-27 23:55:07,P2M,Education,10017,18-25,56+,Telangana,HDFC,Yes Bank,iOS,WiFi,23,1,SUCCESS,0,0.5434992214049758,High Anomaly
TXN0000215238,2024-05-22 18:00:48,Bill Payment,Grocery,199,56+,56+,Uttar Pradesh,HDFC,Kotak,Web,3G,18,0,SUCCESS,0,0.543239306799634,High Anomaly
TXN0000003035,2024-03-24 09:32:27,P2P,Transport,248,56+,46-55,Tamil Nadu,Axis,IndusInd,iOS,3G,9,1,SUCCESS,0,0.5429340406659295,High Anomaly
TXN0000161999,2024-08-10 18:11:52,P2M,Shopping,281,56+,26-35,Andhra Pradesh,Axis,HDFC,Web,3G,18,1,SUCCESS,0,0.5419670950534625,High Anomaly
TXN0000017948,2024-12-11 22:56:58,Bill Payment,Entertainment,70,46-55,26-35,Telangana,SBI,IndusInd,Web,WiFi,22,0,SUCCESS,0,0.5410247481510896,High Anomaly
TXN0000143597,2024-12-21 00:09:24,P2P,Entertainment,255,18-25,56+,Andhra Pradesh,Kotak,Yes Bank,Web,5G,0,1,FAILED,0,0.5408832022186467,High Anomaly
TXN0000036094,2024-10-21 17:43:36,Bill Payment,Education,5709,26-35,56+,Maharashtra,ICICI,HDFC,Web,WiFi,17,0,SUCCESS,0,0.540878883637472,High Anomaly
TXN0000181697,2024-03-21 20:38:56,Bill Payment,Healthcare,819,56+,46-55,Uttar Pradesh,SBI,SBI,Web,3G,20,0,SUCCESS,0,0.5404512631722082,High Anomaly
TXN0000034272,2024-05-04 06:01:20,P2M,Healthcare,462,56+,36-45,Karnataka,SBI,IndusInd,Web,WiFi,6,1,SUCCESS,0,0.5404087339347392,High Anomaly
TXN0000089880,2024-05-21 12:24:19,Bill Payment,Utilities,1875,26-35,46-55,Karnataka,Yes Bank,Yes Bank,Web,WiFi,12,0,SUCCESS,0,0.540279551182492,High Anomaly
TXN0000133837,2024-04-27 17:47:37,Recharge,Education,2997,46-55,18-25,Telangana,Axis,Axis,iOS,WiFi,17,1,SUCCESS,0,0.5402306640901857,High Anomaly
TXN0000070723,2024-12-18 02:35:40,P2P,Entertainment,260,56+,56+,Rajasthan,HDFC,Kotak,Web,3G,2,0,SUCCESS,0,0.5401899580290831,High Anomaly
TXN0000095990,2024-09-15 15:40:09,Bill Payment,Education,621,46-55,46-55,West Bengal,IndusInd,Yes Bank,iOS,3G,15,1,SUCCESS,0,0.5399932847344324,High Anomaly
TXN0000212487,2024-08-03 19:53:24,Recharge,Shopping,2402,46-55,36-45,Gujarat,PNB,SBI,iOS,WiFi,19,1,SUCCESS,0,0.5399788764783687,High Anomaly
TXN0000038556,2024-02-10 10:01:59,P2M,Fuel,1268,56+,46-55,Tamil Nadu,HDFC,Axis,Web,WiFi,10,1,SUCCESS,0,0.5396487442912916,High Anomaly
TXN0000101526,2024-01-01 13:05:57,Bill Payment,Grocery,2528,18-25,56+,Rajasthan,Kotak,PNB,Web,5G,13,0,SUCCESS,0,0.5396354064237825,High Anomaly
TXN0000070963,2024-06-14 07:28:08,Bill Payment,Shopping,1647,46-55,26-35,Delhi,ICICI,IndusInd,Web,WiFi,7,0,SUCCESS,0,0.5395721408273966,High Anomaly
TXN0000006011,2024-08-13 21:14:50,Bill Payment,Shopping,473,36-45,56+,Andhra Pradesh,Kotak,PNB,Web,WiFi,21,0,SUCCESS,0,0.5394180147652909,High Anomaly
